,sentence,class
1481,"- Да, во время Чемпионата мира по квиддичу - ответил Гарри и рассказал о том, как появилась Черная Метка, и как Винки поймали на месте преступления с волшебной палочкой Гарри в руках, и как мистер Крауч при этом рассердился.",original
319,"Гарри, отмеривавший на своих крошечных и необычайно точных весах нужное количество порошка - в тот раз это был толченый позвоночник морского льва, - сделал вид, что ничего не слышит.",original
2310,"- Честь обязывает нас служить нынешнему главе Хогвартса! - воскликнул дряхлый волшебник, в котором Гарри признал Армандо Диппета, предшественника Дамблдора.",original
4487,"И это плюс то обстоятельство, что Кингсли сноровисто носил одежду маглов, не говоря уж об успокоительных тонах его низкого, неторопливого голоса, заставляло Дурслей относиться к нему куда лучше, чем к любому другому волшебнику.",original
252,"Они сделали последний поворот, прыжками преодолели последнюю лестницу, оказались на третьем этаже и бесшумно прокрались в комнату, где хранились награды.",original
2243,"Гарри и Рон сменили мантии (Рон несколько минут пытался надеть свою задом наперед, пока над ним не сжалилась Алисия) и сели, чтобы выслушать установку на игру.",original
3338,"- Да, Руфус Скримджер в связи с последними событиями создал несколько новых отделов, и Артура назначили начальником Сектора выявления и конфискации поддельных защитных заклинаний и оберегов.",original
828,"Как Гарри ни бился, он не смог сгустить Морочащую закваску, и Снегг, наблюдавший за ним с мстительным удовольствием, нацарапал в своих записях нечто, подозрительно похожее на ноль.",original
3906,"- Кикимер сделает все, чего желает хозяин, - сказал Кикимер, поклонившись так низко, что губы его почти коснулись шишковатых пальцев ног, - потому как Кикимеру выбирать не приходится, но Кикимеру стыдно, что у него такой хозяин, да…",original
3704,"Эльфы-домовики с писком пробирались через чашу ног, почти незаметные под тяжелыми серебряными подносами с угощением, так что можно было подумать, будто по комнате передвигаются маленькие шустрые столики.",original
613,"С трудом веря, что удалось избежать неприятностей, Гарри с Роном свернули за угол и отчетливо услышали, как профессор МакГонагалл, шмыгнув носом, высморкалась.",original
673,"Но поскольку на этой длинной, мощенной булыжником улице теснилось множество чудесных волшебных магазинчиков, у Гарри не было ни малейшего желания нарушить данное Фаджу слово и отправиться назад, в магловские кварталы.",original
3077,"- Когда мы сделали дом номер двенадцать на площади Гриммо своим штабом, я предупреждал Сириуса, что к Кикимеру следует относиться с мягкостью и уважением.",original
4898,"Внимательно вглядываясь в имена на табличках, Гарри свернул за угол и, пройдя новый коридор до половины, оказался в просторном открытом холле, где за маленькими, расставленными в ряды столами, напоминавшими школьные, только лучше отполированные и ничем не исписанные, сидела дюжина волшебников и волшебниц.",original
1809,"- Где это мы? - растерянно спросил мистер Уизли, и на миг у Гарри замерло сердце: неужели они, как мистер Уизли ни разглядывал схему, все-таки сошли не на той станции?",original
476,"- Златопуст Локонс, рыцарь ордена Мерлина третьего класса, почетный член Лиги защиты от темных сил и пятикратный обладатель приза «Магического еженедельника» за самую обаятельную улыбку.",original
4306,"Мгновение она молча смотрела на него, потом, ко всеобщему испугу, покачнулась; мадам Помфри, по-видимому уже совладавшая с собой, бросилась к ней, выхватила из воздуха кресло и подтолкнула его под МакГонагалл.",original
841,"Сделав прыжок, пес передними лапами ударил его в грудь, Гарри опрокинулся навзничь, ощутив лицом волну густой длинной шерсти и горячее дыхание зверя, перед глазами сверкнули дюймовые клыки.",original
4974,"- Гарри, - присев перед ним на корточки, спросила она голосом, каким говорят, навещая в больнице смертельно больного человека, - тебе не кажется, что он овладел тобой?",original
2388,"Только искушенные в окклюменции способны подавить чувства и воспоминания, противоречащие лжи, и, таким образом, говорить неправду в его присутствии, не опасаясь разоблачения.",original
5401,"Сражающиеся - как Пожиратели смерти, так и защитники Хогвартса - бросились врассыпную, и в надвигающихся чудовищ полетели красные и зеленые вспышки, пауки дергались и вставали на дыбы, устрашающие, как никогда.",original
4179,"И мгновенно почувствовал, что его протягивают сквозь узкую резиновую трубку; дышать стало нечем, все тело сжало почти до невыносимости, но в миг, когда ему показалось, что он вот-вот задохнется, невидимые путы как будто лопнули, и он обнаружил, что стоит в прохладной тьме и впивает полными легкими свежий, соленый воздух.",original
2090,"Лениво подумав о том, сколько эльфов уже отпущено на свободу, хотели они ее или нет, Гарри откупорил чернила, обмакнул перо и, занеся его над гладким желтоватым пергаментом, глубоко задумался.",original
1824,"В одном отсеке мужчина в алой мантии с забранными в конский хвост волосами еще длинней, чем у Билла, сидел, водрузив ноги на письменный стол, и диктовал своему перу отчет.",original
227,"- Мы не скажем вам, что лежало в сейфе, поэтому не лезьте в наши дела, если вам не нужны проблемы, - заявил этим утром пресс-секретарь банка «Гринготтс».",original
3396,"И точно, когда он вошел на кухню, оказалось, что Флер сидит за кухонным столом и увлеченно расписывает планы своей свадьбы с Биллом, а миссис Уизли мрачно надзирает за тем, как чистится сама собой целая гора брюссельской капусты.",original
540,"Его оценили даже те, у кого сердце замирало от страха в ожидании минуты, когда придется хлебнуть опасного зелья, составленного по рецепту из старинной книги.",original
3853,"Уроки, тренировки по квиддичу домашние задания, трансгрессия - не мог он целыми днями таскаться за Малфоем по школе и надеяться, что его отсутствие останется незамеченным.",original
1701,"Грозный Глаз Грюм с его длинной пепельной гривой и особенным носом, изрядная часть которого отсутствовала, подозрительно косился на Гарри своими разными глазами.",original
3269,"Может быть, виной тому была явная, вопиющая волшебность всего его обличья, а может, дядя Верной просто почувствовал, что перед ним человек, которого очень трудно запугать.",original
2309,"Гарри понял, что речь идет о ее часах, показывавших не время, а местонахождение и состояние каждого члена семейства Уизли, и с болью подумал, что стрелка мистера Уизли до сих пор показывает на смертельную опасность.",original
4589,"Незадолго до обеда миссис Уизли увела Гарри подальше от всех прочих, попросив его взглянуть на одинокий мужской носок, который, как она полагала, мог выпасть из его рюкзака.",original
2288,"С приходом Рона, Гермионы и Невилла этот гнетущий разговор оборвался, а еще через пять минут в комнате стало так людно, что Гарри стал недосягаем для горящего, укоризненного взгляда Анджелины.",original
1893,"Воспользовавшись тем, что Грюм повернулся к Сириусу, Гарри быстро, чтобы никто не успел окликнуть, пересек кухню, выскользнул за дверь и поднялся в коридор.",original
4811,"- И однако же если ты не можешь доказать, что с тобой состоял в близком родстве по меньшей мере один волшебник, считается, что магическую силу ты получил незаконным путем и потому заслуживаешь наказания.",original
1262,"В руке он держал волшебную палочку, направленную на белого хорька, дрожавшего на мощенном плитами полу как раз на том месте, где только что стоял Малфой.",original
89,"- Папа сошел с ума, да, мам? - грустно спросил Дадли после того, как днем дядя Вернон оставил автомобиль на побережье, запер их в машине, а сам куда-то исчез.",original
1621,"Если к Волан-де-Морту вернутся его сторонники и дементоры переметнутся к нему, вам будет очень трудно помешать ему снова добиться той власти, которая была у него тринадцать лет назад!",original
5042,"У Гарри перехватило горло, ему так ярко вспомнился Хогвартс: Пивз, распевающий похабные песенки на мотив хоралов, прячась в пустых доспехах, двенадцать рождественских елей в Большом зале, Дамблдор в шляпе с цветами, которую он достал из хлопушки, Рон в свитере ручной вязки…",original
12,"Хотя совы обычно охотятся ночью и практически никогда не показываются днем, сегодня поступали сотни сообщений от людей, которые с самого рассвета в разных точках страны видели беспорядочно летающих сов.",original
892,"Ни Рона, ни Гермиону Хогсмид не привлекал и они вместе с Гарри бродили вокруг замка, обсуждая удивительные события минувшей ночи и гадая, где теперь могут быть Сириус и Клювокрыл.",original
2368,"Целительница подошла к бормотуну, поставила на тумбочку довольно уродливое растение с длинными качающимися щупальцами и волшебной палочкой прикрепила к стене календарь.",original
299,"Он пытался очистить голову от мыслей - он должен был выспаться, просто обязан, ведь через несколько часов ему предстояло впервые в жизни выйти на поле.",original
3276,"Наверное, его теперь всегда будет преследовать образ Сириуса, мечущегося по темным пустым душным комнатам, запертого в стенах дома, откуда он всю жизнь так страстно мечтал вырваться.",original
5340,"- Он, простите за вульгарное выражение, сделал ноги, - ответила профессор Макгонагалл, и за столами Гриффиндора, Пуффендуя и Когтеврана раздался дружный громкий смех.",original
3477,"В этом году раздача персональных расписаний несколько усложнилась, так как профессор МакГонагалл должна была вначале удостовериться, что все получили нужное количество баллов за СОВ и могут продолжать занятия по выбранным предметам для подготовки к ЖАБА.",original
4272,"Что там произошло, Гарри не понял, он продолжил бег - расстояние, отделявшее его от этих троих, было все еще слишком большим, чтобы как следует прицелиться в них заклинанием.",original
261,"Проснувшись и обсудив случившееся ночью, Гарри и Рон решили, что встреча с трехголовым псом была отличным приключением и они бы не отказались от еще одного в том же духе.",original
2216,"Буря продолжалась и после обеда; уход за магическими существами перенесли с воздуха в свободный класс на втором этаже, а в обед, к всеобщему облегчению, Анджелина объявила членам команды, что тренировка отменяется.",original
246,"«Что там ни говори, а это не лучшее завершение для такого дня», - думал Гарри несколько часов спустя, лежа с открытыми глазами и прислушиваясь к мерному дыханию Дина и Симуса (в спальне их было пятеро, но Невилл все еще находился в больничном крыле).",original
282,"Но оказалось, что Гарри вытащил ее не зря, и когда он в прыжке вцепился в шею тролля, обхватив ее сзади обеими руками, зажатая в правой руке палочка воткнулась троллю глубоко в ноздрю.",original
1933,"По одну сторону от них сидел Почти Безголовый Ник, факультетский призрак Гриффиндора, по другую - Парвати Патил и Лаванда Браун, которые поздоровались с Гарри как-то нарочито беззаботно и дружелюбно, не оставив у него сомнений в том, что перестали перемывать ему косточки лишь мгновение назад.",original
3211,"Хотя премьер-министру отнюдь не доставляло удовольствия вспоминать о Фадже, он невольно опасался, что, когда министр магии (или, как он его про себя называл, Другой министр) появится снова, причина окажется еще более серьезной.",original
3818,"- То отсюда следует, что при условии правильно проведенной идентификации ингредиентов зелья с помощью Чароискателя Эскарпина первая наша задача состоит не в относительно простом выборе противоядий для этих ингредиентов, а в поиске той добавочной составляющей, которая алхимическим путем преобразует эти элементы…",original
4030,"Гарри же, чей путь по-прежнему озарял «Феликс Фелицис», знал, что пить не должен, и потому лишь притворился, будто сделал глоток, а после опустил кружку на стол.",original
737,"Рон клялся, что не вынесет две недели дома с Перси, а Гермиона уверяла, что ей нужно порыться в библиотеке, но Гарри-то отлично понял, что они остаются ради него, и был им за это благодарен.",original
554,"Рон побагровел, даже волосы налились красным, нос его медленно становился длиннее - отпущенный им час истек К Рону возвращался его истинный облик и, судя по ужасу, с каким он взглянул на Гарри, с тем происходило то же самое.",original
4147,"- А, Поттер, - произнес Снегг, когда Гарри, стукнув в дверь, вошел в неприятно знакомый кабинет, который Снегг, хоть он и преподавал теперь наверху, так и не освободил.",original
3084,"Нет; я не знал, десять, двадцать или пятьдесят лет пройдет до его возвращения, но был уверен, что рано или поздно он вернется, а еще, зная его как никто, был уверен, что он не успокоится, пока не убьет тебя.",original
5030,"Точно так же он чувствовал себя несколько лет назад, когда собирался с духом, чтобы спросить профессора Макгонагалл, можно ли ему пойти в Хогсмид, хотя Дурcли так и не согласились подписать для него разрешение.",original
1533,"В библиотеке Гермиона отыскала еще одно полезное заклинание, Компасное, которое ставило волшебную палочку строго на север - с такой палочкой в лабиринте не заблудишься.",original
1566,"Но я стал слабее любого живого существа, и я не мог себе помочь… потому что у меня не было тела, а для необходимого заклятия требовалась волшебная палочка…",original
4823,После широко освещавшегося в прессе ареста Персиваля и его заключения в Азкабан гордая и надменная Кендра Дамблдор не могла и дальше сносить жизнь в Насыпном Нагорье.,original
1546,"За столом слизеринцев Малфой, Крэбб и Гойл веселились вовсю: крутили пальцами у виска, корчили дебильные рожи и высовывали языки, шевеля ими на манер змей.",original
1538,"Эти факты вызывают серьезные опасения: сможет ли он дальше участвовать в столь трудном соревновании, как Турнир Трех Волшебников, и даже вообще учиться в школе «Хогвартс».",original
328,"Судя по всему, он уже успел распечатать свои подарки, по крайней мере частично, потому что держал в руках свитер грубой вязки, который тут же выхватил у него Фред.",original
2796,"К сожалению, практически ежегодно в школе находится, как минимум, один ученик, считающий, что ему по силам обвести Волшебную экзаменационную комиссию вокруг пальца.",original
4943,"Даже этого, отнюдь не дальнего перехода с одного места на другое хватило, чтобы Рон побелел, вытянувшись на матрасе, закрыл глаза и какоето время промолчал.",original
2208,"Даже единственный бладжер, который они взяли на тренировку, он заметил в самый последний момент и, чтобы не быть сбитым, вынужден был прибегнуть к Вялому Кистевому Крену.",original
544,"Дождавшись, пока Рон и Гарри проглотят третью порцию рождественского пудинга, Гермиона увела их из зала, чтобы составить подробный план вечерней кампании.",original
4422,"Так вот, несколько минут назад Гарри сунул во всю эту муть правую руку и вдруг ощутил острую боль в безымянном пальце, а вытянув руку наружу, увидел, как из него течет, и течет сильно, кровь.",original
1424,"До двадцать четвертого февраля - неделя (ничего, еще есть время)… пять дней до двадцать четвертого (пора бы уже что-то найти)… три дня (пожалуйста, ну, хоть что-нибудь!",original
485,"Кое-что, однако, достигало его сознания: избитые фразы, вроде «Слава - неверная подруга, Гарри» или «Знаменитость складывается из поступков, которые эта знаменитость совершает».",original
731,"- Профессор Флитвик только что принес твою метлу, - едва слышно сказала Гермиона, нагнулась, подняла с пола мешок и вытряхнула на постель кучку щепок и поломанных прутьев - все, что осталось от верного «Нимбуса-2000», непобедимого, но в конце концов все-таки потерпевшего поражение.",original
2200,"- Они вправе есть любую пакость, и я не знаю правила, запрещающего идиотам ее покупать, если не доказана ее опасность, - чего в данном случае, кажется, нет.",original
3260,6. При появлении Черной Метки над жилым домом или любым другим строением НИ В КОЕМ СЛУЧАЕ НЕ ВХОДИТЕ ВНУТРЬ и немедленно обратитесь в Управление мракоборцев.,original
5392,"Мыслями он был в замке, в той единственной, тайной комнате, известной лишь ему одному, в укрытии, которое могли обнаружить лишь ум, отвага и изобретательность…",original
521,"Вуд согласно кивнул, раздался свисток судьи, и Гарри с близнецами, уворачиваясь от спятившего бладжера, устремились к земле под оглушительный свист болельщиков Слизерина.",original
5532,"- Альбус Северус, - сказал Гарри тихо, так что слышать их могла только Джинни, а у нее хватило такта увлеченно махать в этот момент глядевшей из поезда Розе, - тебя назвали в честь двух директоров Хогвартса.",original
14,"И самая последняя мысль, посетившая его перед тем, как он уснул, была очень приятной: даже если Поттеры на самом деле связаны со всем случившимся сегодня, им совершенно ни к чему появляться на Тисовой улице.",original
93,"Казалось, что прошло несколько часов, прежде чем они доплыли до скалы, а там дядя Вернон, поскальзываясь на камнях и с трудом удерживая равновесие, повел их к покосившемуся домику.",original
5370,"Крэбб сделал быстрый выпад волшебной палочкой в сторону высоченной стены из старой мебели, помятых чемоданов, книг, одежды и всякой не поддающейся опознанию рухляди и крикнул:",original
4681,"- Рон может смеяться сколько угодно, - невозмутимо сказала Полумна, когда Гарри провожал ее и Ксенофилиуса к их местам, - но отец провел очень серьезные исследования магии Gernumbli.",original
2758,"Над головой исполина, которая, как у дяди Вернона, словно была посажена прямо на плечи без всякого признака шеи, виднелся краешек большого мясистого уха.",original
4655,"Когда Скримджер вступил под свет фонариков, Гарри увидел, что министр выглядит намного старше, чем при последней их встрече, - он похудел, стал еще более мрачным.",original
4343,"Гарри представлял себе, как все было бы, если бы Дамблдор не погиб и они проводили конец учебного года вместе - Джинни уже сдала бы экзамены, с домашними заданиями было бы покончено…",original
2178,"Конечно, удовольствием это трудно назвать, но последнее осеннее солнце продержалось весь день, и, вместо того чтобы корпеть за столом в гостиной, они перебрались с работой под раскидистый бук на берегу озера.",original
1553,"Чешуйчатое безволосое тело цвета сырого мяса, слабые, тонкие ручки и ножки, а лицо - такого ни у одного ребенка отродясь не было - приплюснутое, как у змеи, с блестящими красноватыми глазами-щелками.",original
4672,"Он чувствовал себя так, точно сидит на экзамене, глядя на вопрос, ответ на который должен знать, но голова у него варит туго и ни на какие понукания не отзывается.",original
2966,"Красный луч ударил в ближайшего Пожирателя смерти - тот упал назад, на стоячие часы и свалил их на пол. Однако его напарник отпрыгнул в сторону, уклонившись от заклятия Гарри, и направил палочку на Гермиону которая как раз выползала из своего убежища, чтобы получше прицелиться.",original
1886,"- Лица, наделенные властью, частенько навлекают на себя неприятности, но раз Дамблдор тебя назначил, он, похоже, уверен, что ты способен противостоять большинству серьезных заклятий…",original
3454,"Гарри подумал, не надеть ли ему снова мантию-невидимку, чтобы незаметно добраться до своего места за длинным гриффиндорским столом (который, как нарочно, находился дальше других от входа).",original
635,"Гарри взглянул прямо в его морду: змеиные глаза - оба громадных круглых желтых глаза - были выклеваны фениксом; кровь хлестала на пол, чудовище свирепо шипело и плевалось от боли.",original
1129,"- Но зачем сторонникам Волан-де-Морта, - начал было Гарри, но тут все вздрогнули - как и большинство обитателей волшебного мира, Уизли избегали произносить это имя.",original
5296,"Здесь ведь нужно попросить в точности то, что тебе нужно, например: «Хочу, чтобы никто из тех, кто поддерживает Кэрроу, не смог сюда войти» - и она сделает, как ты просил.",original
462,"- Профессор Дамблдор, эти юнцы нарушили Закон, ограничивающий магию несовершеннолетних, нанесли серьезный урон старой, очень ценной иве… этот акт вандализма…",original
131,"После этого они зашли за учебниками в магазин под названием «Флориш и Блоттс», где было столько книг, сколько Гарри ни разу в жизни не видел, - они стояли на полках, занимая все пространство магазина от пола до потолка.",original
5053,"Он высунул руку изпод мантииневидимки и взялся за ржавую, запорошенную снегом калитку - не для того, чтобы открыть, а просто чтобы коснуться хоть части этого дома.",original
1717,"Хотя он прекрасно знал, как Перси мечтает о карьере, впечатление было такое, что на первой своей должности в Министерстве магии он не слишком преуспел.",original
3620,"- Однако я убежден - это вновь одни догадки, но я уверен, что не ошибаюсь, - после того, как муж оставил ее, Меропа перестала пользоваться волшебством.",original
5175,"Может, ему хотелось как-то возместить то, что он их тогда бросил, а может, отрешенность Гарри пробудила в нем способности лидера; во всяком случае, теперь именно Рон тормошил и подбадривал остальных.",original
3761,"- О, конечно, конечно, тут вопрос взаимного доверия, я вовсе не хочу, чтобы вы разглашали… нет-нет… да и так ли уж важно, действительно вы Избранный или нет?",original
844,"Огонь на конце палочки высветил из темноты корявый ствол дерева - погоня за Коростой привела их прямо под сень Гремучей ивы, и ее ветви, скрипя, словно под сильным ветром, хлестали во все стороны.",original
3595,"- А какая разница, если кто-то и выносит из школы Темные артефакты? - сказал Рон, с опаской поглядывая на длинный тонкий датчик - Главное, чтобы ничего такого не вносили внутрь!",original
413,"Он хлопнул в ладоши, и свисавшее со стены зелено-серебряное знамя стало ало-золотым, а огромная змея исчезла, и вместо нее появился гигантский лев Гриффиндора.",original
2432,"У него было отвратительное чувство, что он превращается в антенну, настроенную на тончайшие смены настроения Волан-де-Морта, и он не сомневался, что чувствительность эта начала расти с первого же урока окклюменции у Снегга.",original
137,"Двадцать минут спустя они вышли из магазина под названием «Торговый центр “Совы”», и Гарри зажмурился от яркого солнца, потому что в магазине царила полная шорохов, шелеста и шуршания перьев тьма, освещаемая лишь мерцанием ярких, как драгоценные камни, глаз.",original
5528,"- А я, честно говоря, - он отвернулся от портретов и думал сейчас только о кровати с пологом, ждавшей его в башне Гриффиндора, и о том, сможет ли Кикимер принести ему туда бутербродов, - сыт тревогами до конца жизни.",original
4026,"Когда Слизнорт склонился над ними, желая, видимо, получше рассмотреть гигантскую волосатую голову, Гарри почудилось, что до него донеслось звяканье склянок.",original
2752,"Маленькие сучки ломались с громким треском, а любой едва слышный шорох в кустах, пусть даже производимый какой-нибудь безобидной пташкой, заставлял Гарри опасливо вглядываться в полутьму.",original
3355,"Все нормально; он всегда знал, что завалит прорицания, а сдать историю магии у него просто не было возможности, поскольку он потерял сознание в середине экзамена, зато по всем остальным предметам он получил проходные баллы!",original
1002,"Не успели сделать и двух шагов, как Живоглот - рыжий кривоногий кот Гермионы - выскочил из сада, задрав распушенный хвост трубой и преследуя существо, напоминавшее грязную картофелину на ножках, ростом едва ли четверть метра.",original
4678,"Пока мистер Уизли устранял повреждения, а Хагрид громогласно извинялся перед всеми, кто его слушал, Гарри поспешил обратно к входу в шатер и обнаружил там Рона, разговаривавшего с на редкость чудаковатым волшебником.",original
5338,"Но тут его шрам пронзила нестерпимая боль, и Выручайкомната исчезла: он смотрел сквозь высокие кованые ворота с крылатыми вепрями на столбах на темную территорию, за которой пылал огнями замок.",original
4921,"Вдоль помоста прохаживался серебристый, длинношерстный кот, защищавший, как сразу понял Гарри, судей от источаемой дементорами безнадежности: ее полагалось ощущать обвиняемым, а не обвинителям.",original
959,"Я надеюсь, что Вы позволите нам взять с собой Гарри на матч, тем более что такая возможность выпадает раз в жизни - Британия не принимала у себя финал вот уже тридцать лет и добыть билеты крайне трудно.",original
5260,"- Так, ничего не трогаем! - отчаянно крикнул Гарри, но в этот самый миг Рон подпрыгнул на месте - подошва его ботинка прогорела насквозь, коснувшись раскаленного металла.",original
889,"Дойдя до нижней ступеньки, друзья услышали голоса - разговаривали, похоже, Фадж и Снегг, они быстро прошли по коридору на расстоянии фута от вжавшихся в стену Гарри и Гермионы.",original
231,"Во вторник за завтраком она утомляла всех сидевших за столом, цитируя советы и подсказки начинающим летать, которые почерпнула из библиотечной книги под названием «История квиддича».",original
5054,"Гарри мог бы придумать множество причин, почему откликаться не следует, но подозрения по поводу того, кто такая эта старуха, становились сильнее с каждой секундой, пока они стояли друг против друга посреди пустынной улицы.",original
2063,"Стояло несколько ваз с засушенными цветами, каждая на своей салфеточке, а на одной из стен висела коллекция декоративных тарелочек с яркими цветными котятами, которые различались, помимо прочего, повязанными на шею бантиками.",original
4565,"Гарри коротко рассказал, как гнавшиеся за ними Пожиратели смерти, повидимому, опознали в нем настоящего Поттера, как они прервали погоню - судя по всему, чтобы призвать Волан-де-Морта, появившегося совсем незадолго до того, как он и Хагрид достигли убежища - дома родителей Тонкс.",original
2843,Ему хотелось только одного - чтобы все это поскорее кончилось и он мог пойти и заснуть; а завтра они с Роном отправятся на стадион - он собирался опробовать новую метлу Рона - и будут наслаждаться драгоценной свободой…,original
4593,"И внезапно Гарри сообразил, что они остались наедине впервые с тех украденных у учебы часов, которые проводили вместе в укромных уголках школьного двора.",original
